Haiku text,Publication Name,Year,Month,Volume,Issue
outside my office window / a giant hawk soars — / telephone rings unanswered,Rose Mallow,1995,,,26
perched on my balcony / I mimick / the mockingbird,Rose Mallow,1995,,,26
my sparrow friend / never quite eating / from my hand,Rose Mallow,1995,,,26
in a field of clover / a rabbit hides — / my son's first day of school,Rose Mallow,1995,,,26
my son's toy phone / packed in my luggage again — / a long winter night,Rose Mallow,1995,,,26
my son waves goodbye / the window streaming / with winter rain,Rose Mallow,1995,,,26
winter chill / my two warring cats / snuggling in their sleep,Rose Mallow,1995,,,26
under the shadow / of a sudden cloud / the cicadas are silent,Rose Mallow,1996,,,27
overgrown / with dandelions / the fallout shelter,Rose Mallow,1996,,,27
a sudden gust — / yesterday's headline / crosses the street,Rose Mallow,1996,,,27
performance over / the street mime's smile / on a handkerchief,Rose Mallow,1996,,,27
long nights at the bar / drinking cold ale / to stay warm,Rose Mallow,1996,,,27
Sunday morning / the subway entrance / crowded with pigeons,Rose Mallow,1996,,,27
late for dinner / I stare at the clouds / waiting for rain,Rose Mallow,1996,,,27
early morning snow / an extra sugar / in my coffee,Rose Mallow,1996,,,27
overcast sky — / soaring over empty sands / the seagull's cry,Rose Mallow,1996,,,28
winter sunset — / the deepening amber / of this bitter ale,Rose Mallow,1996,,,28
California night — / feeling / the absence of trains,Rose Mallow,1996,,,28
from his cage / a mourning dove calls / into the night,Rose Mallow,1996,,,28
hazy morning / church bells / slightly off-key,Rose Mallow,1996,,,28
starless night / my son's / long-distance tears,Rose Mallow,1996,,,28
all night / your angry words / and the spring storm wind,Rose Mallow,1996,,,28
morning sun — / palm leaves / cling to dew,Rose Mallow,1996,,,28
harsh winter — / an old man / straightens a tombstone,Rose Mallow,1996,,,29
spring snow / on your cheek — / soft to the touch,Rose Mallow,1996,,,29
you finally arrive / through my open window / — jasmine,Rose Mallow,1996,,,29
Minnesota morning — / jasmine blossoms / coated with frost,Rose Mallow,1996,,,29
somewhere / beyond all this rain / the moon's seas,Rose Mallow,1996,,,29
in a strange town / coldly waiting for the train / with pigeons,Rose Mallow,1996,,,29
clutching my coffee — / train graffiti overwhelms / the summer sunrise,Rose Mallow,1996,,,29
end of summer — / an old dog chases a cat / in his sleep,Rose Mallow,1996,,,29
late autumn color / fresh graffiti / on the train station wall,Rose Mallow,2000,,,43
October commute / racing the darkness / home,Rose Mallow,2000,,,43
the junkyard at night / a hubcap filled / with rainwater and stars,Rose Mallow,2000,,,43
a steady snowfall — / reading and re-reading / my daughter's letter,Rose Mallow,2000,,,43
Christmas eve / I hold the bus / for Santa,Rose Mallow,2000,,,43
April afternoon — / the snow disappears / into jazz,Rose Mallow,2000,,,43
baseball season ends — / a pile of golden leaves/ scattered by the wind,Rose Mallow,2000,,,43
after four hours of sleep / light snow fills / an empty cup,Rose Mallow,2000,,,44
the pager sounds — / seagulls circling / above the sunrise,Rose Mallow,2000,,,44
moonless night / footprints filled / with melted snow,Rose Mallow,2000,,,44
bitterly cold / the dog barks / all night long,Rose Mallow,2000,,,44
in the afterglow / reaching / for the cat,Rose Mallow,2000,,,44
sleepless night / the bakery window's / thickening mist,Rose Mallow,2000,,,44
restless night — / the green eyes / of the cat,Rose Mallow,2000,,,44
planning my vacation / a button missing / from my shirt,Rose Mallow,2000,,,45
starless night / my children forget / to wave goodbye,Rose Mallow,2000,,,45
almost April / so many tree branches / without words,Rose Mallow,2000,,,45
mid-winter thaw / the run / in her stocking,Rose Mallow,2000,,,45
bedroom renovation / the sound / of the woodpecker,Rose Mallow,2000,,,45
a day of meetings — / a housefly trapped / between panes of glass,Rose Mallow,2000,,,45
waiting for the school bus / line after line / of freshly mowed grass,Rose Mallow,2000,,,45
in the waiting room / a goldfish / watches me,Rose Mallow,2001,,,48
approaching storm — / a cloud / of seagulls,Rose Mallow,2001,,,48
I tell you / I'll love you forever — / a coconut falls,Rose Mallow,2001,,,48
Spring snow — / an expectant mother rests / her hands on her belly,Rose Mallow,2001,,,48
between / sleeping commuters / sunrise,Rose Mallow,2001,,,48
sunset... / the pale white flesh / beneath the wedding ring,Rose Mallow,2001,,,48
away on business — / the restless cat / on your side of the bed,Rose Mallow,2001,,,48
full moon — / so lonely / on a starless night,Rose Mallow,2001,,,49
the pond at midnight — / a dragonfly / lands on the moon,Rose Mallow,2001,,,49
through the blinds / slivers / of full moon,Rose Mallow,2001,,,49
cricket's song / penetrates / the moonless mist,Rose Mallow,2001,,,49
swirling / with each oar stroke / the moon's reflection,Rose Mallow,2001,,,49
drinking alone — / pale moon / in a starless sky,Rose Mallow,2001,,,49
lonely night — / do my children see / this same blurred moon?,Rose Mallow,2001,,,49
overnight freeze — / waiting for news / about Grandma,Rose Mallow,2002,,,51
morning thaw — / a voice on the phone tells me / that Grandma is gone,Rose Mallow,2002,,,51
sliding on an ice patch / I daydream / about baseball,Rose Mallow,2002,,,51
funeral mass — / an elderly priest / awakens to incense,Rose Mallow,2002,,,51
South Station — / everyone ignores the crazy man / except the pigeons,Rose Mallow,2002,,,51
the dog sleeps / the drunks howl — / midwinter night,Rose Mallow,2002,,,51
balancing my portfolio / I spill coffee / everywhere,Rose Mallow,2002,,,51
after the storm / a hubcap / filled with stars,Rose Mallow,2002,,,52
bending / to pick a rose — / the sudden pain,Rose Mallow,2002,,,52
the last curl unfurls / from my daughter's perm — / low-lying clouds,Rose Mallow,2002,,,52
sunny spring day / walking through a cloud / of perfume,Rose Mallow,2002,,,52
spring thaw / each footstep / deepens,Rose Mallow,2002,,,52
disappearing / into a cloudless sky / a child's balloon,Rose Mallow,2002,,,52
midwinter thaw — / a cautious smile / from a stranger,Rose Mallow,2002,,,52
beyond / the unopened gate / wind-blown snow,Rose Mallow,2003,,,55
December rain — / wondering where / the gray squirrels hide,Rose Mallow,2003,,,55
New Year's morning / fresh snow / fills the potholes,Rose Mallow,2003,,,55
Christmas Eve — / a mouse stirs / and sets off the trap,Rose Mallow,2003,,,55
shoveling snow / I whistle / a Beach Boys tune,Rose Mallow,2003,,,55
where Christmas presents / had been — / dried pine needles,Rose Mallow,2003,,,55
rumors of war — / removing decorations / from the Christmas tree,Rose Mallow,2003,,,55
continued cold / the oil delivery man / apologizes,Rose Mallow,2003,,,56
waiting for x-rays / the spot on my glasses / won't come off,Rose Mallow,2003,,,56
ready for battle / the dog chokes / on its leash,Rose Mallow,2003,,,56
preparing for war — / a dog barks / at its own echo,Rose Mallow,2003,,,56
bombs over Baghdad — my sleep is disturbed / by a chirping pager,Rose Mallow,2003,,,56
another war / the full moon disappears / into fog,Rose Mallow,2003,,,56
April Fool's Day — / the City is besieged / by another cold snap,Rose Mallow,2003,,,56
two fenced-in flower beds / filled with weeds — / her chronic pain,Rose Mallow,2003,,,58
Sunday morning / the old dog / takes his time,Rose Mallow,2003,,,58
wild daisy / the tattoo / on her bare belly,Rose Mallow,2003,,,58
blues festival — / a dragonfly dances / above the treetops,Rose Mallow,2003,,,58
game-winning home run / the crickets / fall silent,Rose Mallow,2003,,,58
fog / skyscraper / meets sky,Rose Mallow,2003,,,58
"the canvas's emptiness / under her arm, she boards / the subway car",Rose Mallow,2003,,,58
the old cathedral — / a baby shouts / at her own echo,Rose Mallow,2004,,,59
winter night — / the crunch of road salt / beneath my boots,Rose Mallow,2004,,,59
trouble sleep / the sound / of freezing rain,Rose Mallow,2004,,,59
startled from sleep / a dog barks / at the wind,Rose Mallow,2004,,,59
winter rain — / the echo of a blues guitar / in an empty club,Rose Mallow,2004,,,59
howling wind / bounced email / from a deceased friend ,Rose Mallow,2004,,,59
restless night — / a bare branch / scratches the shutter,Rose Mallow,2004,,,59
restless night / the cat keeps chasing you / from my dreams,Rose Mallow,2004,,,60
unable to sleep / unable to stay awake / a distant freight train,Rose Mallow,2004,,,60
the Dow drops / but mother spider / keeps spinning her web,Rose Mallow,2004,,,60
so light in my hand / I imagine him flying — / the dead bird,Rose Mallow,2004,,,60
approaching storm — / a spider web / shmmers in the breeze,Rose Mallow,2004,,,60
tough day at work — / I rescue a fly / from a spider web,Rose Mallow,2004,,,60
cold snap — / a spider fights me / for the first log,Rose Mallow,2004,,,60
darkening skies — / the sidewalk littered / with lottery tickets,Rose Mallow,2004,,,61
above the bare trees / winter storm clouds / the size of my fist,Rose Mallow,2004,,,61
sudden rain shower — / the fireflies / grow dim,Rose Mallow,2004,,,61
too sad / for a nursery rhyme / May showers,Rose Mallow,2004,,,61
approaching storm / the sky darkens / with crows,Rose Mallow,2004,,,61
summer storm clouds / the air thickens / with silence,Rose Mallow,2004,,,61
gazing into an open field / a daydream of trains,Rose Mallow,2004,,,61
high-tension wire — / a crow calls / to itself,Rose Mallow,2004,,,62
first day of school — / a hornet's nest / at the bus stop,Rose Mallow,2004,,,62
first frost — / my father speaks of himself / in the past tense,Rose Mallow,2004,,,62
slow blues / a bead of sweat / that just won't fall,Rose Mallow,2004,,,62
Fall colors — my youngest son's / deep voice,Rose Mallow,2004,,,62
"late summer chill / the ""Deer Crossing"" sign / riddled with bullets",Rose Mallow,2004,,,62
Family Court — / my wedding band / sets off the metal detector,Rose Mallow,2004,,,62
winter thaw — our dog finds a hole / in the fence,Rose Mallow,2005,,,63
snow in the forecast / the cemetery / grows grayer,Rose Mallow,2005,,,63
morning commute — / a freshly spun / spider web,Rose Mallow,2005,,,63
news of her pregnancy — / a candle flickers / in the draft,Rose Mallow,2005,,,63
raking leaves — / all the apologies / I've never made,Rose Mallow,2005,,,63
December sun — / two snow angels / holding hands,Rose Mallow,2005,,,63
Thanksgiving — / my vegetarian daughter / passes the turkey,Rose Mallow,2005,,,63
spring frost — / I call an acquaintance / by the wrong name,Rose Mallow,2005,,,64
spring in the air — / a lunch date / with the pigeons,Rose Mallow,2005,,,64
winter moon — / the smell / of burning pine,Rose Mallow,2005,,,64
Valentine's Day — / awakened by a kiss / from the dog,Rose Mallow,2005,,,64
Tax Day — / the dog eats / only half her meal,Rose Mallow,2005,,,64
rain turns to mist — / I forget the name / of my first love,Rose Mallow,2005,,,64
warm April day — / my dog is pre-approved / for a credit card,Rose Mallow,2005,,,64
heat wave — / the conductor / punches my ticket / twice,Rose Mallow,2005,,,66
heightened security — / fresh seagull droppings / on my windshield,Rose Mallow,2005,,,66
my daughter's wedding day — / a child's balloons / float away,Rose Mallow,2005,,,66
dead of summer — / a spider dangles / from the windchimes,Rose Mallow,2005,,,66
bright sunshine — / the homeless man's / brand new boots,Rose Mallow,2005,,,66
cloudless summer sky — / an old woman's stare,Rose Mallow,2005,,,66
crowded train — / one more stranger / between us,Rose Mallow,2005,,,66
gibbous moon — / the dog's eyes / widen,Rose Mallow,2006,,,67
killer frost — / the snap / of a mouse trap,Rose Mallow,2006,,,67
December — / the glow of a cigarette / in the alley way,Rose Mallow,2006,,,67
November chill — / shredded grocery bags / hanging in a tree,Rose Mallow,2006,,,67
"New Year's Eve traffic — / the sign says / ""seek alternate route""",Rose Mallow,2006,,,67
stars — / the sound / of bare branches,Rose Mallow,2006,,,67
winter thaw — the snowman's / muddy cheeks,Rose Mallow,2006,,,67
spring snow — / the poet hunkers down / at the end of the bar,Rose Mallow,2006,,,68
writer's block — / a kite / caught in a tree,Rose Mallow,2006,,,68
first day of Spring — / cigarette butts at the bottom / of the snow pile,Rose Mallow,2006,,,68
almost easter / the faceless mannequin wears / a pretty pink dress,Rose Mallow,2006,,,68
filing my taxes — / dandelion seeds / in the air,Rose Mallow,2006,,,68
stiff March wind — / remembering Grandpa / died at my age,Rose Mallow,2006,,,68
signs of spring — / fresh graffiti / on a downtown train,Rose Mallow,2006,,,68
azalea blossoms — / my daughter asks a question / about diamonds,Rose Mallow,2006,,,69
summer dusk — / a hornet's nest / in the butterfly house,Rose Mallow,2006,,,69
May fog — / the echoes / of my footsteps,Rose Mallow,2006,,,69
lightning strike — / a dead mosquito / on the back of my hand,Rose Mallow,2006,,,69
ragweed — / the new boss / forgets my name,Rose Mallow,2006,,,69
cicadas — / my unborn grandchild's / heartbeat,Rose Mallow,2006,,,69
morning thunder — / all the blankets / on her side of the bed,Rose Mallow,2006,,,69
heat wave — / sweat clings to the neck / of my beer bottle,Rose Mallow,2006,,,70
waiting room — / so many smiling faces / on the magazine rack,Rose Mallow,2006,,,70
Labor Day... / I sleep / 'til noon,Rose Mallow,2006,,,70
open mic — / the words shake / in my hands,Rose Mallow,2006,,,70
our eighth anniversary — / the dog lies down / between us,Rose Mallow,2006,,,70
first day of school — / a soccer ball / crosses the street,Rose Mallow,2006,,,70
harvest moon — / a shoping cart / full of beer cans,Rose Mallow,2006,,,70
hot summer morning — / sharing my breakfast / with ants,Boston Globe,2016,August,,
twilight / I direct a stranger / to the wrong train,tinywords,2007,January,,7
hunter's moon — / the tension at the end / of the dog's leash,tinywords,2007,October,,7
in a dream / the apology / I never gave,tinywords,2016,October,16,2
on the battered pier / old men / fishing for ghosts,tinywords,2016,November,16,2
smooth jazz / the bar stools / stashed away,tinywords,2024,February,23,2
overcast sky — / soaring over empty sands / the seagull's cry,voice of the peeper,1999,February,,
restless night — / reaching for the pager / in my sleep,voice of the peeper,1999,February,,
waiting for the train / the street musician / out of tune,voice of the peeper,1999,February,,
decorating / the bare white window frame / a ladybug,voice of the peeper,1999,February,,
the still pond — / tossing a stone / I shatter the moon,voice of the peeper,1999,February,,
Veteran's Day rain — / an old man holds an umbrella / above the monument,voice of the peeper,1999,February,,
steady snowfall / reading and re-reading / my daughter's letter,voice of the peeper,1999,February,,
combing my hair / on a cool autumn day / — early frost,voice of the peeper,1999,February,,
alone in Texas / the cold spot / on her side of the bed,voice of the peeper,1999,February,,
harvest moon... / the dog digs up / am old bone,barking mad,2018,,,
dragon fruit / I'm almost afraid / to taste it,fired up,2024,,,
unable to escape / the subway station / of my dreams,inside out,2003,,,
